<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,15,20120103,101500,80.1200000,82.3500000,80.1200000,80.6500000,7254060
SBER,15,20120103,103000,80.6500000,80.9400000,80.6000000,80.9100000,2650950
SBER,15,20120103,104500,80.9100000,81.1800000,80.8000000,80.8200000,4795440
SBER,15,20120103,110000,80.8200000,80.9200000,80.7200000,80.8000000,1252260
SBER,15,20120103,111500,80.8300000,81.0000000,80.8000000,80.9000000,1078050
SBER,15,20120103,113000,80.9000000,81.0000000,80.7400000,80.7800000,1270100
SBER,15,20120103,114500,80.7600000,80.9900000,80.7500000,80.9000000,870070
SBER,15,20120103,120000,80.9000000,81.2500000,80.8700000,81.2100000,2190840
SBER,15,20120103,121500,81.2000000,81.2500000,81.0500000,81.1500000,2203100
SBER,15,20120103,123000,81.1600000,81.4900000,80.8300000,80.9100000,4210360
SBER,15,20120103,124500,80.9200000,81.1000000,80.8000000,80.9200000,1517990
SBER,15,20120103,130000,80.9400000,81.3000000,80.8700000,81.1800000,1849720
SBER,15,20120103,131500,81.1800000,81.4600000,81.1000000,81.4400000,3773540
SBER,15,20120103,133000,81.4100000,81.5300000,81.2700000,81.2800000,2667270
SBER,15,20120103,134500,81.2900000,81.5000000,81.2800000,81.3800000,884080
SBER,15,20120103,140000,81.3700000,81.4800000,81.2100000,81.2200000,1540030
SBER,15,20120103,141500,81.2200000,81.4200000,81.2100000,81.2300000,860300
SBER,15,20120103,143000,81.2300000,81.3700000,81.2100000,81.3000000,664830
SBER,15,20120103,144500,81.3000000,81.3500000,81.0000000,81.1100000,2210960
SBER,15,20120103,150000,81.1200000,81.2200000,81.0500000,81.1300000,544870
SBER,15,20120103,151500,81.0700000,81.3000000,81.0500000,81.2400000,2011230
SBER,15,20120103,153000,81.2800000,81.3900000,81.2000000,81.2300000,1119920
SBER,15,20120103,154500,81.2300000,81.3200000,81.1400000,81.2400000,1006070
SBER,15,20120103,160000,81.2400000,81.3600000,81.2000000,81.3400000,996870
SBER,15,20120103,161500,81.3200000,81.3500000,81.2500000,81.3500000,441720
SBER,15,20120103,163000,81.3400000,81.6700000,81.3100000,81.5600000,4027660
SBER,15,20120103,164500,81.5700000,81.6300000,81.5000000,81.6200000,1242700
SBER,15,20120103,170000,81.6300000,81.7500000,81.6000000,81.7300000,2208420
SBER,15,20120103,171500,81.7300000,82.0900000,81.7100000,81.8300000,4906480
SBER,15,20120103,173000,81.8300000,81.9600000,81.7100000,81.8300000,1300640
SBER,15,20120103,174500,81.8400000,81.8800000,81.7500000,81.8500000,732380
SBER,15,20120103,180000,81.8700000,81.8800000,81.7600000,81.8500000,697370
SBER,15,20120103,181500,81.8500000,82.0700000,81.8000000,82.0200000,2113310
SBER,15,20120103,183000,82.0600000,82.2000000,82.0100000,82.0700000,3609670
SBER,15,20120103,184500,82.0700000,82.5000000,82.0600000,82.4100000,8131620
SBER,15,20120104,101500,82.4400000,82.7000000,81.9100000,82.1100000,6599720
SBER,15,20120104,103000,82.1000000,82.3500000,82.0200000,82.2100000,2045470
SBER,15,20120104,104500,82.2100000,82.4500000,82.2100000,82.3800000,1570820
SBER,15,20120104,110000,82.3700000,82.4500000,82.2500000,82.4500000,1706120
SBER,15,20120104,111500,82.4600000,82.8000000,82.3300000,82.7400000,2921330
SBER,15,20120104,113000,82.7200000,82.8500000,82.6300000,82.7000000,2617470
SBER,15,20120104,114500,82.7000000,83.3500000,82.6600000,83.1900000,7185640
SBER,15,20120104,120000,83.1800000,83.2000000,82.9400000,83.0200000,1803650
SBER,15,20120104,121500,83.0200000,84.3300000,82.9300000,84.2300000,17845390
SBER,15,20120104,123000,84.2400000,84.4800000,83.7000000,83.7200000,9053100
SBER,15,20120104,124500,83.7300000,83.7800000,82.9800000,83.0100000,8597420
SBER,15,20120104,130000,83.0100000,83.5500000,82.9000000,83.0900000,8886220
SBER,15,20120104,131500,83.0900000,83.7000000,82.8100000,83.5100000,6536160
SBER,15,20120104,133000,83.5300000,83.6400000,83.2600000,83.6400000,1829640
SBER,15,20120104,134500,83.6400000,84.0900000,83.6300000,83.8800000,5983570
SBER,15,20120104,140000,83.8700000,83.8900000,83.5600000,83.8200000,2030860
SBER,15,20120104,141500,83.8200000,84.0500000,83.6500000,83.6800000,2882200
SBER,15,20120104,143000,83.7000000,83.9300000,83.6500000,83.7000000,1204230
SBER,15,20120104,144500,83.6800000,83.8900000,83.6800000,83.8900000,1409520
SBER,15,20120104,150000,83.8900000,83.9100000,83.7000000,83.8800000,1854410
SBER,15,20120104,151500,83.8800000,84.1500000,83.8100000,84.0900000,2386950
SBER,15,20120104,153000,84.0900000,84.1000000,83.7000000,83.7800000,4076880
SBER,15,20120104,154500,83.7800000,83.8800000,83.6200000,83.6600000,2894130
SBER,15,20120104,160000,83.6900000,83.7800000,83.4300000,83.7000000,4144060
SBER,15,20120104,161500,83.7000000,83.7600000,83.6400000,83.7500000,1217130
SBER,15,20120104,163000,83.7500000,83.8100000,83.6200000,83.6800000,1296170
SBER,15,20120104,164500,83.6800000,83.7000000,83.4600000,83.5600000,2182610
SBER,15,20120104,170000,83.5700000,83.6000000,83.3000000,83.4300000,2882620
SBER,15,20120104,171500,83.4600000,83.4800000,83.1600000,83.1800000,2357050
SBER,15,20120104,173000,83.2000000,83.3900000,83.1500000,83.3300000,2569280
SBER,15,20120104,174500,83.3300000,83.6600000,83.3000000,83.5600000,2533850
SBER,15,20120104,180000,83.5600000,83.8800000,83.5000000,83.5000000,3748350
SBER,15,20120104,181500,83.5000000,83.5200000,83.2400000,83.4100000,2881320
SBER,15,20120104,183000,83.4000000,83.4900000,83.2300000,83.3400000,2025870
SBER,15,20120104,184500,83.3200000,83.5400000,83.1800000,83.5200000,4780240
SBER,15,20120105,101500,83.5000000,84.4400000,83.3200000,84.3000000,7188850
SBER,15,20120105,103000,84.2600000,84.4000000,84.1000000,84.1700000,3994680
SBER,15,20120105,104500,84.1600000,84.2400000,83.8100000,84.0300000,3120760
SBER,15,20120105,110000,84.0700000,84.2000000,83.9600000,84.0900000,1882290
SBER,15,20120105,111500,84.0800000,84.0900000,83.8100000,83.8400000,1909940
SBER,15,20120105,113000,83.8300000,83.9400000,83.6700000,83.8500000,2014700
SBER,15,20120105,114500,83.8500000,84.1900000,83.8200000,84.1200000,2267700
SBER,15,20120105,120000,84.0900000,84.3400000,83.9700000,84.2000000,2664550
SBER,15,20120105,121500,84.2200000,84.3300000,83.8500000,83.9500000,3593480
SBER,15,20120105,123000,83.9700000,84.0900000,83.7000000,83.7000000,3000500
SBER,15,20120105,124500,83.7000000,83.7100000,83.2400000,83.3200000,6316300
SBER,15,20120105,130000,83.3100000,83.3900000,83.0500000,83.2700000,5582240
SBER,15,20120105,131500,83.2600000,83.3800000,83.0700000,83.2200000,3836730
SBER,15,20120105,133000,83.2200000,83.3500000,83.1800000,83.3500000,1927530
SBER,15,20120105,134500,83.3500000,83.3500000,82.8300000,83.2200000,3823940
SBER,15,20120105,140000,83.1800000,83.2500000,82.6800000,82.7600000,3366680
SBER,15,20120105,141500,82.7600000,82.9000000,82.5500000,82.6700000,3344740
SBER,15,20120105,143000,82.6600000,82.9900000,82.6400000,82.9100000,1649770
SBER,15,20120105,144500,82.9100000,82.9500000,82.6000000,82.7000000,1780990
SBER,15,20120105,150000,82.7200000,82.7200000,82.0500000,82.1300000,5860790
SBER,15,20120105,151500,82.1100000,82.5300000,82.0500000,82.4400000,3452270
SBER,15,20120105,153000,82.4400000,82.4400000,82.1500000,82.3000000,1413190
SBER,15,20120105,154500,82.3000000,82.3800000,82.0700000,82.2700000,1394070
SBER,15,20120105,160000,82.2700000,82.4000000,82.1300000,82.3700000,929600
SBER,15,20120105,161500,82.3400000,82.5800000,82.3000000,82.3600000,1653320
SBER,15,20120105,163000,82.3700000,82.4400000,82.2500000,82.3500000,1016150
SBER,15,20120105,164500,82.3600000,82.4800000,82.3000000,82.4200000,1127290
SBER,15,20120105,170000,82.4100000,82.4300000,82.2900000,82.3600000,913360
SBER,15,20120105,171500,82.3600000,82.5700000,82.3100000,82.5100000,1647850
SBER,15,20120105,173000,82.5200000,83.0000000,82.5200000,82.9600000,6518990
SBER,15,20120105,174500,82.9600000,83.2300000,82.8200000,83.2300000,5201010
SBER,15,20120105,180000,83.2000000,83.2900000,82.9400000,83.2000000,4309170
SBER,15,20120105,181500,83.2000000,83.3000000,83.0600000,83.1400000,2923580
SBER,15,20120105,183000,83.1400000,83.1600000,82.9100000,82.9800000,2172220
SBER,15,20120105,184500,82.9800000,83.0800000,82.4000000,82.5500000,6369230
SBER,15,20120106,101500,82.5100000,82.7900000,82.5000000,82.5900000,2396340
SBER,15,20120106,103000,82.5800000,82.9400000,82.5800000,82.9200000,1703830
SBER,15,20120106,104500,82.9100000,82.9200000,82.7000000,82.8000000,1083050
SBER,15,20120106,110000,82.7800000,82.7900000,81.6700000,81.8900000,9047260
SBER,15,20120106,111500,81.8900000,82.1600000,81.7000000,81.9900000,2499180
SBER,15,20120106,113000,81.9800000,82.3800000,81.9300000,82.2500000,3383690
SBER,15,20120106,114500,82.2500000,82.2700000,82.0700000,82.1300000,1166580
SBER,15,20120106,120000,82.1300000,82.2000000,82.0900000,82.1400000,964660
SBER,15,20120106,121500,82.1400000,82.5700000,82.0800000,82.5000000,4922200
SBER,15,20120106,123000,82.4900000,82.5900000,82.2100000,82.2800000,2425510
SBER,15,20120106,124500,82.2800000,82.4800000,82.1500000,82.4700000,1874000
SBER,15,20120106,130000,82.4700000,82.5400000,82.3700000,82.4000000,1756480
SBER,15,20120106,131500,82.4000000,82.6700000,82.3900000,82.5500000,2978520
SBER,15,20120106,133000,82.5600000,82.5600000,82.3400000,82.4100000,1308760
SBER,15,20120106,134500,82.4100000,82.5800000,82.3600000,82.5100000,986070
SBER,15,20120106,140000,82.5000000,82.5300000,82.3500000,82.3800000,906210
SBER,15,20120106,141500,82.3800000,82.7500000,82.3200000,82.7400000,2127510
SBER,15,20120106,143000,82.7400000,82.8300000,82.6600000,82.7200000,2704530
SBER,15,20120106,144500,82.7300000,82.7900000,82.6000000,82.6900000,1452390
SBER,15,20120106,150000,82.6800000,82.7200000,82.5000000,82.6300000,1084390
SBER,15,20120106,151500,82.6200000,82.7300000,82.3200000,82.4800000,3371980
SBER,15,20120106,153000,82.4800000,82.5000000,82.1300000,82.2800000,2455350
SBER,15,20120106,154500,82.2800000,82.4800000,82.1900000,82.4800000,2577060
SBER,15,20120106,160000,82.4800000,82.6300000,82.4400000,82.6300000,1312890
SBER,15,20120106,161500,82.6300000,83.2000000,82.6300000,83.0900000,8772950
SBER,15,20120106,163000,83.0900000,83.1700000,83.0300000,83.1700000,878580
SBER,15,20120106,164500,83.1700000,83.6900000,83.1600000,83.6200000,10259580
SBER,15,20120106,170000,83.6200000,83.7600000,83.4000000,83.4800000,3764320
SBER,15,20120106,171500,83.4300000,84.1900000,83.4200000,83.9900000,10039310
SBER,15,20120106,173000,83.9700000,84.0600000,83.8800000,83.9500000,2475780
SBER,15,20120106,174500,83.9700000,84.3800000,83.6600000,83.8200000,11620720
SBER,15,20120106,180000,83.8300000,83.9800000,83.4400000,83.5600000,5157130
SBER,15,20120106,181500,83.5600000,83.7400000,83.3000000,83.5800000,6433870
SBER,15,20120106,183000,83.5700000,83.7300000,83.4600000,83.5900000,2191810
SBER,15,20120106,184500,83.5700000,83.5700000,83.0400000,83.2000000,7923280
SBER,15,20120109,101500,82.5900000,82.9000000,82.4200000,82.6400000,4644900
SBER,15,20120109,103000,82.6400000,83.0000000,82.6000000,82.9500000,2357760
SBER,15,20120109,104500,82.9500000,82.9500000,82.7200000,82.8300000,2148150
SBER,15,20120109,110000,82.8300000,82.9400000,82.7800000,82.7800000,829140
SBER,15,20120109,111500,82.7800000,83.0000000,82.6100000,82.9000000,2887150
SBER,15,20120109,113000,82.8900000,82.9300000,82.6000000,82.7500000,1173980
SBER,15,20120109,114500,82.7500000,83.2700000,82.7500000,83.1000000,3028740
SBER,15,20120109,120000,83.1000000,83.4400000,83.0200000,83.3900000,2565760
SBER,15,20120109,121500,83.4400000,83.5800000,83.3100000,83.4400000,3642760
SBER,15,20120109,123000,83.4400000,83.6700000,83.3300000,83.4700000,2908960
SBER,15,20120109,124500,83.4700000,83.8500000,83.4600000,83.7700000,4196490
SBER,15,20120109,130000,83.7600000,84.1000000,83.7600000,84.0900000,5600800
SBER,15,20120109,131500,84.0800000,84.2200000,83.8500000,84.1000000,6463240
SBER,15,20120109,133000,84.1000000,84.2100000,83.8100000,84.0000000,5592380
SBER,15,20120109,134500,84.0100000,84.1500000,83.9500000,84.0700000,1516960
SBER,15,20120109,140000,84.0900000,84.1200000,83.9600000,84.0500000,1672250
SBER,15,20120109,141500,84.0500000,84.1500000,83.8600000,84.0000000,3106440
SBER,15,20120109,143000,84.0200000,84.0200000,83.7200000,83.8500000,2807670
SBER,15,20120109,144500,83.8500000,84.0500000,83.7700000,84.0000000,2733120
